Direzione VVF,Telefono SO Direzione,Indirizzo Direzione,Coordinate DIR,Canale Radio Direzione,email SO Direzione,PEC SO Direzione,email Direzione,PEC Direzione,Centro Operativo Nazionale VVF,Indirizzo CON,Telefono SO CON,Canale Radio CON,CHS CON,email SO CON,Centro Assistenza al Volo,Telefono SOCAV,Indirizzo SOCAV,email SOCAV
Abruzzo,086 234931,"Via Paolo Borsellino, 67100, L'Aquila, AQ","42.37147982715199, 13.3490534901676",004,so.abruzzo@vigilfuoco.it,dir.salaop.abruzzo@cert.vigilfuoco.it,dir.abruzzo@vigilfuoco.it,dir.abruzzo@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Basilicata,0971 609511,"Via Appia, 321/B, 85100, Potenza, PZ","40.64420810520179, 15.832696504722806",078,so.basilicata@vigilfuoco.it,dir.salaop.basilicata@cert.vigilfuoco.it,dir.basilicata@vigilfuoco.it,dir.basilicata@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Calabria,0961 7175111,"S.da Statale 19 delle Calabrie, 88100, Catanzaro, CZ","38.90674393495758, 16.57204827790255",042,so.calabria@vigilfuoco.it,dir.salaop.calabria@cert.vigilfuoco.it,dir.calabria@vigilfuoco.it,dir.calabria@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Campania,081 2476114,"Via del Sole, 10, 80138, Napoli, NA","40.85074557008231, 14.254072238516486",060,so.campania@vigilfuoco.it,dir.salaop.campania@cert.vigilfuoco.it,dir.campania@vigilfuoco.it,dir.campania@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Emilia-Romagna,051 4199512,"Via Aposazza, 3, 40128, Bologna, BO","44.53729727186146, 11.36729629538066",028,so.emiliaromagna@vigilfuoco.it,dir.salaop.emiliaromagna@cert.vigilfuoco.it,dir.emiliaromagna@vigilfuoco.it,dir.emiliaromagna@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Friuli Venezia Giulia,040 7707511,"Via del Teatro Romano, 17, 34121, Trieste, TS","45.64994602326241, 13.768707601366481",036,so.friuli@vigilfuoco.it,dir.salaop.friuliveneziagiulia@cert.vigilfuoco.it,dir.friuliveneziagiulia@vigilfuoco.it,dir.friuliveneziagiulia@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Lazio,06 66179600,"Via S. Giovanni Eudes, 100, 00163, Roma, RM","41.87482924791803, 12.407223884017673",020,so.lazio@vigilfuoco.it,dir.salaop.lazio@cert.vigilfuoco.it,dir.lazio@vigilfuoco.it,dir.lazio@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Liguria,010 5455738,"Via Serra, 8, 16122, Genova, GE","44.41031226859811, 8.941124941052367",046,so.liguria@vigilfuoco.it,dir.salaop.liguria@cert.vigilfuoco.it,dir.liguria@vigilfuoco.it,dir.liguria@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Lombardia,02 8546461,"Via Ansperto, 4, 20123, Milano, MI","45.47169068298397, 9.181305657089913",014,so.lombardia@vigilfuoco.it,dir.salaop.lombardia@cert.vigilfuoco.it,dir.lombardia@vigilfuoco.it,dir.lombardia@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Marche,071 227511,"Via Alessandro Bocconi, snc, 60125, Ancona, AN","43.60820103193866, 13.515398359355908",008,so.marche@vigilfuoco.it,dir.salaop.marche@cert.vigilfuoco.it,dir.marche@vigilfuoco.it,dir.marche@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Molise,0874 604180,"Via Sant'Antonio dei Lazzari, 5, 86100, Campobasso, CB","41.56630315697138, 14.665121462238687",006,so.molise@vigilfuoco.it,dir.salaop.molise@cert.vigilfuoco.it,dir.molise@vigilfuoco.it,dir.molise@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Piemonte,011 41465200,"Strada del Barocchio, 71, 10095, Grugliasco, TO","45.05176401878979, 7.620329415679013",080,so.piemonte@vigilfuoco.it,dir.salaop.piemonte@cert.vigilfuoco.it,dir.piemonte@vigilfuoco.it,dir.piemonte@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Puglia,080 5411220,"Viale Japigia, 240, 70126, Bari, BA","41.11284110783711, 16.902570432585208",054,so.puglia@vigilfuoco.it,dir.salaop.puglia@cert.vigilfuoco.it,dir.puglia@vigilfuoco.it,dir.puglia@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Sardegna,070 528061,"Via Antonio Lo Frasso, 4, 09127, Cagliari, CA","39.21671665496108, 9.122873919342934",062,so.sardegna@vigilfuoco.it,dir.salaop.sardegna@cert.vigilfuoco.it,dir.sardegna@vigilfuoco.it,dir.sardegna@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Sicilia,091 6057500,"Via Mariano Stabile, 160, 90139, Palermo, PA","38.12297568296013, 13.357693274088666",028,salaoperativa.sicilia@vigilfuoco.it,dir.salaop.sicilia@cert.vigilfuoco.it,dir.sicilia@vigilfuoco.it,dir.sicilia@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Toscana,055 5525600,"Via Marsilio Ficino, 13, 50132, Firenze, FI","43.781055249453644, 11.268120890546193",050,so.toscana@vigilfuoco.it,dir.salaop.toscana@cert.vigilfuoco.it,dir.toscana@vigilfuoco.it,dir.toscana@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Umbria,075 54472,"Corso Cavour, 129, 06121, Perugia, PG","43.105481209636835, 12.392054734713668",040,so.umbria@vigilfuoco.it,dir.salaop.umbria@cert.vigilfuoco.it,dir.umbria@vigilfuoco.it,dir.umbria@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Valle d'Aosta,011 41465200,"Via Croix Noire, 6, 11020, Aosta, AO","45.74080982000895, 7.347291852271569",080,so.piemonte@vigilfuoco.it,dir.salaop.piemonte@cert.vigilfuoco.it,dir.piemonte@vigilfuoco.it,dir.piemonte@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
Veneto e TAA,049 8229211,"Via Altinate, snc, 35121, Padova, PD","45.40894847906071, 11.880740557907114",084,so.veneto@vigilfuoco.it,dir.salaop.veneto@cert.vigilfuoco.it,dir.veneto@vigilfuoco.it,dir.veneto@cert.vigilfuoco.it,CON,"Piazza del Viminale, 1, 00184, Roma, RM",06 478321,026,99001,centroperativovvf@vigilfuoco.it,SOCAV,06 79340903,"Via Mario Mameli, snc, 00178, Roma, RM c/o Aeroporto Ciampino",em.socav@vigilfuoco.it
